ID,NAME,TYPE,BRAND,MANUFACTURE YEAR,BOUGHT PRICE,SELL PRICE,FROM_COUNTRY,QUANTITY,DESCRIPTION,IMAGE
18,Lexus GS F RWD 2017,Lexus GS F,Lexus,2017,82750,"84,935",Japanese,5,"Loại động cơ: Premium Unleaded V-8
Dung tích xi lanh: 5.0 L/303
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 467 @ 7100",https://www.carcomparing.com/store/carsubmodel/7741.jpg
19,Lexus GS F 4dr Sdn 2016,Lexus GS F,Lexus,2016,83150,"86,415",Japanese,6,"Loại động cơ: Premium Unleaded V-8
Dung tích xi lanh: 5.0 L/303
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 467 @ 7100",https://www.carcomparing.com/store/carsubmodel/6831.jpg
20,Porsche 718 Boxster Roadster 2018,Porsche 718 Boxster,Porsche,2018,56475,58455,Germany,8,"Loại động cơ: Intercooled Turbo Premium Unleaded H-4
Dung tích xi lanh:2.0 L/121
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 300 @ 6500",https://www.carcomparing.com/store/carsubmodel/8444.jpg
21,Porsche 718 Boxster Roadster 2017,Porsche 718 Boxster,Porsche,2017,55195,57050,Germany,7,"Loại động cơ: Intercooled Turbo Premium Unleaded H-4
Dung tích xi lanh:2.0 L/121
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 300 @ 6500",https://www.carcomparing.com/store/carsubmodel/7025.jpg
22,Porsche Boxster 2dr Roadster S 2016,Porsche 718 Boxster,Porsche,2016,61750,64950,Germany,5,"Loại động cơ: Intercooled Turbo Premium Unleaded H-6
Dung tích xi lanh:2.0 L/210
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 315 @ 6700",https://www.carcomparing.com/store/carsubmodel/6967.jpg
23,Porsche 718 Cayman Coupe 2018,Porsche 718 Cayman,Porsche,2018,55105,56985,Germany,8,"Loại động cơ: Intercooled Turbo Premium Unleaded H-6
Dung tích xi lanh:2.0 L/210
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 315 @ 6700",https://www.carcomparing.com/store/carsubmodel/8445.jpg
24,Porsche 718 Cayman Coupe 2017,Porsche 718 Cayman,Porsche,2017,53045,54950,Germany,7,"Loại động cơ: Intercooled Turbo Premium Unleaded H-4
Dung tích xi lanh: 2.0 L/121
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 300 @ 6500",https://www.carcomparing.com/store/carsubmodel/7026.jpg
25,Porsche Cayman 2dr Cpe S 2016,Porsche 718 Cayman,Porsche,2016,63105,66750,Germany,8,"Loại động cơ:Premium Unleaded H-6
Dung tích xi lanh: 3.4 L/210
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 325 @ 7400",https://www.carcomparing.com/store/carsubmodel/6843.jpg
26,Porsche 911 Carrera 4 Cabriolet 2019,Porsche 911,Porsche,2019,101735,111375,Germany,7,"Loại động cơ:Twin Turbo Premium Unleaded H-6
Dung tích xi lanh: 3.4 L/180
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 370 @ 6500",https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/porsche_911_porsche-911-carrera-cabriolet_2019-1546889806883.jpg
27,Porsche 911 Carrera 4 GTS Cabriolet 2018,Porsche 912,Porsche,2018,131075,142300,Germany,9,"Loại động cơ:Twin Turbo Premium Unleaded H-6
Dung tích xi lanh: 3.4 L/182
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 450 @ 6500",https://www.carcomparing.com/store/carsubmodel/8447.jpg
28,Porsche 911 Carrera 4 GTS Coupe 2018,Porsche 913,Porsche,2018,110375,128650,Germany,6,"Loại động cơ:Twin Turbo Premium Unleaded H-6
Dung tích xi lanh: 3.4 L/182
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 450 @ 6500",https://www.carcomparing.com/store/carsubmodel/8446.jpg
29,Land Rover Discovery HSE V6 Supercharged 2018,Land rover Discovery,Land Rover,2018,54375,59070,England,7,"Loại động cơ:Intercooled Supercharger Premium Unleaded V-6
Dung tích xi lanh: 3.0 L/183
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 340 @ 6500",https://www.carcomparing.com/store/carsubmodel/8610.jpg
30,Land Rover Discovery HSE Luxury V6 Supercharged 2017,Land rover Discovery,Land Rover,2017,59000,64375,England,9,"Loại động cơ:Intercooled Supercharger Premium Unleaded V-6
Dung tích xi lanh: 3.0 L/183
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 340 @ 6500",https://www.carcomparing.com/store/carsubmodel/7968.jpg
31,Land Rover Discovery SE V6 Supercharged 2017,Land rover Discovery,Land Rover,2017,45075,51370,England,8,"Loại động cơ:Twin Turbo Premium Unleaded H-6
Dung tích xi lanh: 3.4 L/183
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 450 @ 6500",https://www.carcomparing.com/store/carsubmodel/7968.jpg
32,Land Rover Discovery HSE V6 Supercharged 2018,Land rover Discovery Sport,Land Rover,2018,36500,39750,England,8,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 237 @ 5500",https://www.carcomparing.com/store/carsubmodel/8611.jpg
33,Land Rover Discovery Sport HSE 4WD 2017,Land rover Discovery Sport,Land Rover,2017,40000,44750,England,6,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 240 @ 5800",https://www.carcomparing.com/store/carsubmodel/7684.jpg
34,Land Rover Discovery Sport AWD 4dr HSE LUX 2016,Land rover Discovery Sport,Land Rover,2016,40100,45120,England,7,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 240 @ 5800",https://www.carcomparing.com/store/carsubmodel/7260.jpg
35,Land Rover Range Rover Evoque 5 Door SE 2018,Land rover Range Rover Evoque,Land Rover,2018,38200,42875,England,5,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 237 @ 5500",https://www.carcomparing.com/store/carsubmodel/8607.jpg
36,Land Rover Range Rover Evoque Coupe SE Premium 2017,Land rover Range Rover Evoque,Land Rover,2017,41050,46000,England,8,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 240 @ 5500",https://www.carcomparing.com/store/carsubmodel/7830.jpg
37,Land Rover Range Rover Evoque 5 Door HSE 2017,Land rover Range Rover Evoque,Land Rover,2017,46050,51120,England,6,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 2.0 L/122
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 240 @ 5500",https://www.carcomparing.com/store/carsubmodel/7816.jpg
38,Mitsubishi Eclipse Cross ES FWD 2018 ,Mitsubishi Eclipse Cross,Mitsubishi,2018,22375,24250,Japan,10,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 1.5 L/91
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 152 @ 5500",https://www.carcomparing.com/store/carsubmodel/8113.jpg
39,Mitsubishi Eclipse Cross ES FWD 2019,Mitsubishi Eclipse Cross,Mitsubishi,2019,21750,24755,Japan,12,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 1.5 L/91
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 152 @ 5500",https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mitsubishi_eclipse-cross_mitsubishi-eclipse-cross_2019-1546640915537.jpg
40,Mitsubishi Eclipse Cross ES FWD 2020,Mitsubishi Eclipse Cross,Mitsubishi,2020,21700,23750,Japan,15,"Loại động cơ: Intercooled Turbo Premium Unleaded I-4
Dung tích xi lanh: 1.5 L/91
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 152 @ 5500",https://www.carcomparing.com/store/carsubmodel/8113.jpg
41,Mitsubishi Mirage ES Manual 2018,Mitsubishi Mirage,Mitsubishi,2018,13100,14750,Japan,17,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 78 @ 6000",https://www.carcomparing.com/store/carsubmodel/8456.jpg
42,Mitsubishi Mirage SE Manual 2017,Mitsubishi Mirage,Mitsubishi,2017,14000,15580,Japan,16,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 78 @ 6000",https://www.carcomparing.com/store/carsubmodel/7481.jpg
43,Mitsubishi Mirage CVT DE 2015 ,Mitsubishi Mirage,Mitsubishi,2015,13500,14950,Japan,12,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 74 @ 6000",https://www.carcomparing.com/store/carsubmodel/6460.jpg
44,Mitsubishi Mirage G4 ES Manual 2018,Mitsubishi Mirage G4,Mitsubishi,2018,13285,15035,Japan,14,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 78 @ 6000",https://www.carcomparing.com/store/carsubmodel/8457.jpg
45,Mitsubishi Mirage G4 ES CVT 2017,Mitsubishi Mirage G4,Mitsubishi,2017,14000,16350,Japan,16,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 78 @ 6000",https://www.carcomparing.com/store/carsubmodel/7634.jpg
46,Mitsubishi Mirage G4 ES CVT 2019,Mitsubishi Mirage G4,Mitsubishi,2019,15085,16985,Japan,15,"Loại động cơ:Regular Unleaded I-3
Dung tích xi lanh: 1.2 L/73
Hệ thống xăng: MPI
Công suất Mã lực @ RPM: 78 @ 6000",https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/mitsubishi_mirage-g4_mitsubishi-mirage-g4_2019-1557436983535.jpg
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
